,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
7660,Классические куклы,128584867,3,6475,6280,Стрижак и Ко,19339834,0,0,https://www.wildberries.ru/catalog/128584867/detail.aspx?targetUrl=BP
7661,Классические куклы,128561226,3,6475,6280,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561226/detail.aspx?targetUrl=BP
7662,Классические куклы,128311999,3,6475,6280,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311999/detail.aspx?targetUrl=BP
7663,Классические куклы,128606521,3,6475,6280,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606521/detail.aspx?targetUrl=BP
7664,Классические куклы,131202176,3,6466,6272,Похожая на цветок,11801175,0,0,https://www.wildberries.ru/catalog/131202176/detail.aspx?targetUrl=BP
7665,Классические куклы,132298999,3,6466,6272,Лили и КО,968195,0,0,https://www.wildberries.ru/catalog/132298999/detail.aspx?targetUrl=BP
7666,Классические куклы,131123753,3,6466,6272,ТрансГрупп,4706799,0,0,https://www.wildberries.ru/catalog/131123753/detail.aspx?targetUrl=BP
7667,Интерактивные куклы,131202384,3,6461,6267,Похожая на цветок,11801175,0,0,https://www.wildberries.ru/catalog/131202384/detail.aspx?targetUrl=BP
7668,Интерактивные куклы,131123262,3,6461,6267,ТрансГрупп,4706799,0,0,https://www.wildberries.ru/catalog/131123262/detail.aspx?targetUrl=BP
7669,Интерактивные куклы,132298489,3,6461,6267,Лили и КО,968195,0,0,https://www.wildberries.ru/catalog/132298489/detail.aspx?targetUrl=BP
7670,Пупсы,131227773,3,6461,6267,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227773/detail.aspx?targetUrl=BP
7671,Пупсы,131149424,3,6461,6267,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149424/detail.aspx?targetUrl=BP
7672,Пупсы,131149576,3,6456,6262,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149576/detail.aspx?targetUrl=BP
7673,Коллекционные куклы,128606624,3,6456,6262,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606624/detail.aspx?targetUrl=BP
7674,Коллекционные куклы,128561327,3,6456,6262,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561327/detail.aspx?targetUrl=BP
7675,Пупсы,131149479,3,6456,6262,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149479/detail.aspx?targetUrl=BP
7676,Коллекционные куклы,128311560,3,6456,6262,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311560/detail.aspx?targetUrl=BP
7677,Коллекционные куклы,128584641,3,6456,6262,Стрижак и Ко,19339834,0,0,https://www.wildberries.ru/catalog/128584641/detail.aspx?targetUrl=BP
7678,Пупсы,131227835,3,6456,6262,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227835/detail.aspx?targetUrl=BP
7679,Пупсы,131227775,3,6456,6262,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227775/detail.aspx?targetUrl=BP
7680,Классические куклы,128311409,3,6451,6257,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311409/detail.aspx?targetUrl=BP
7681,Классические куклы,128584835,3,6451,6257,Стрижак и Ко,19339834,0,0,https://www.wildberries.ru/catalog/128584835/detail.aspx?targetUrl=BP
7682,Классические куклы,128606836,3,6451,6257,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606836/detail.aspx?targetUrl=BP
7683,Классические куклы,128561308,3,6451,6257,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561308/detail.aspx?targetUrl=BP
7684,Коллекционные куклы,128575863,3,6432,6239,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128575863/detail.aspx?targetUrl=BP
7685,Коллекционные куклы,128311977,3,6432,6239,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311977/detail.aspx?targetUrl=BP
7686,Коллекционные куклы,128606512,3,6432,6239,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606512/detail.aspx?targetUrl=BP
7687,Коллекционные куклы,128584432,3,6432,6239,Стрижак и Ко,19339834,0,0,https://www.wildberries.ru/catalog/128584432/detail.aspx?targetUrl=BP
7688,"Кукла Эля пушинка 3, 30,5 см",151173025,0,6235,6235,MEGA Sample,310606805,0,0,https://www.wildberries.ru/catalog/151173025/detail.aspx?targetUrl=BP
7689,Классические куклы,131227603,3,6427,6234,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227603/detail.aspx?targetUrl=BP
7690,Коллекционные куклы,131227710,3,6427,6234,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227710/detail.aspx?targetUrl=BP
7691,Классические куклы,131149748,3,6427,6234,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149748/detail.aspx?targetUrl=BP
7692,Коллекционные куклы,128311256,3,6427,6234,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128311256/detail.aspx?targetUrl=BP
7693,Коллекционные куклы,131149633,3,6427,6234,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149633/detail.aspx?targetUrl=BP
7694,Коллекционные куклы,128584331,3,6427,6234,Стрижак и Ко,19339834,0,0,https://www.wildberries.ru/catalog/128584331/detail.aspx?targetUrl=BP
7695,Коллекционные куклы,128561315,3,6427,6234,Bob Young,4726161,0,0,https://www.wildberries.ru/catalog/128561315/detail.aspx?targetUrl=BP
